Users,Qubits,R_HPQ,T_HPQ,R_QIH,T_QIH,R_GRY,T_GRY,R_ICA,T_ICA,Iteration
2,8.0,1.9990067216713299,58.95404815673828,1.9990067216713299,9.808158874511719,1.9990067216713299,3.241395950317383,2.1189471249716094,308.9540481567383,2.0
3,12.0,1.754237540895503,85.49728393554688,1.8509089500621763,13.098335266113281,1.754237540895503,4.031562805175781,1.8594917933492332,335.4972839355469,2.0
4,16.0,1.6596981174875716,116.8616771697998,1.7527430103661061,17.470169067382812,1.6596981174875716,5.064916610717773,1.7592800045368258,366.8616771697998,2.0
5,20.0,1.6291692359542416,150.4591941833496,1.7330404863396716,21.948719024658203,1.6092384844679946,6.468820571899414,1.726919390111496,400.4591941833496,2.0
