n_users,policy,mean_sum_rate,std_sum_rate,mean_runtime_ms,std_runtime_ms,mean_quality_pct_best_available,std_quality_pct_best_available,mean_quality_pct_exact,std_quality_pct_exact,mean_exact_gap_pct,std_exact_gap_pct,feasibility_rate,mean_binary_objective,mean_optimizer_iterations
2,ExactSmall,12.925791851981405,0.22478522725998024,41.02976322174072,3.3652825260161388,100.0,6.6990611570507735e-15,100.0,6.6990611570507735e-15,0.0,0.0,1.0,5069.749156848002,2.1
2,Greedy,1.9995456215662795,0.00015095263293250547,1.5394210815429688,0.23172145800506255,15.473664958015792,0.27095218556602807,15.473664958015792,0.27095218556602807,84.5263350419842,0.2709521855660291,1.0,,1.0
2,LocalSearch,3.2987077129516322,0.914353158465002,5.038356781005859,1.3736346890608462,25.527865986539243,7.125471098974425,25.527865986539243,7.125471098974425,74.47213401346076,7.125471098974427,1.0,-389.95686030680355,2.0
2,QIO-Default,3.464958699971254,0.8014537723122269,18.610239028930664,1.7757426975361437,26.81274142466823,6.253442784774066,26.81274142466823,6.253442784774066,73.18725857533177,6.253442784774065,1.0,-389.9144509819656,2.2
2,QIO-HighQuality,3.464958699971254,0.8014537723122269,152.86850929260254,8.762902243769028,26.81274142466823,6.253442784774066,26.81274142466823,6.253442784774066,73.18725857533177,6.253442784774065,1.0,-389.9144509819656,2.2
3,ExactSmall,12.80899198657455,0.23053766707517606,245.68979740142822,16.36322381044669,100.0,8.204640795236539e-15,100.0,8.204640795236539e-15,0.0,0.0,1.0,5923.986159205143,2.1
3,Greedy,1.7542934958586933,0.0003979236087428339,1.6369819641113281,0.033628572232990935,13.6997979065388,0.24703921725791367,13.6997979065388,0.24703921725791367,86.3002020934612,0.24703921725792022,1.0,,1.0
3,LocalSearch,3.5323803065740433,0.6696932731755896,8.873653411865234,1.5289044096698776,27.62270439449933,5.421285597723992,27.62270439449933,5.421285597723992,72.37729560550068,5.421285597723994,1.0,-582.3514552255656,3.1
3,QIO-Default,3.5323803065740433,0.6696932731755896,28.19499969482422,4.396852978924673,27.62270439449933,5.421285597723992,27.62270439449933,5.421285597723992,72.37729560550068,5.421285597723994,1.0,-582.3514552255656,3.1
3,QIO-HighQuality,3.5323803065740433,0.6696932731755896,224.36835765838623,13.567296108474865,27.62270439449933,5.421285597723992,27.62270439449933,5.421285597723992,72.37729560550068,5.421285597723994,1.0,-582.3514552255656,3.1
4,ExactSmall,12.843827457548011,0.44792164078422764,1237.5195264816284,117.63297038314508,100.0,8.204640795236539e-15,100.0,8.204640795236539e-15,0.0,0.0,1.0,7580.2137753917605,2.0
4,Greedy,2.1592893994331765,1.5794761414813465,2.4430274963378906,1.8629453762118164,16.565241964246628,11.168866303012317,16.565241964246628,11.168866303012317,83.43475803575338,11.168866303012319,1.0,,1.5
4,LocalSearch,3.4673190396382862,1.1519978436664102,13.506245613098145,1.0044692921214227,27.090036030472096,9.224680981137391,27.090036030472096,9.224680981137391,72.90996396952791,9.224680981137393,1.0,-767.7073228898553,3.5
4,QIO-Default,3.649285675073922,1.1467697481238484,36.99171543121338,2.49410024492947,28.48005331927738,9.068693853657358,28.48005331927738,9.068693853657358,71.51994668072263,9.06869385365736,1.0,-766.9399977528872,3.8
4,QIO-HighQuality,3.443938830151487,1.1734340620476627,299.72360134124756,8.130962890486455,26.920200022337006,9.4044326866546,26.920200022337006,9.4044326866546,73.07979997766299,9.404432686654602,1.0,-767.698708920277,3.9
5,ExactSmall,12.579991051450326,0.3663646342848828,6512.173295021057,1085.1815436884729,100.0,8.204640795236539e-15,100.0,8.204640795236539e-15,0.0,0.0,1.0,5989.499757074134,2.0
5,Greedy,1.6091008100667707,0.00023223459436924436,2.067899703979492,0.06920075699460085,12.80088862683757,0.3791658329136534,12.80088862683757,0.3791658329136534,87.19911137316242,0.3791658329136544,1.0,,1.0
5,LocalSearch,2.530596636752019,0.7052881356024722,20.78859806060791,1.8789587058790906,20.20600910920688,5.988922992007071,20.20600910920688,5.988922992007071,79.79399089079313,5.988922992007068,1.0,-967.6667740237162,4.7
5,QIO-Default,2.983760100939605,0.5323164332237551,46.74687385559082,2.8569757154074633,23.77101738482998,4.483442071179097,23.77101738482998,4.483442071179097,76.22898261517003,4.483442071179099,1.0,-966.3627242867691,3.9
5,QIO-HighQuality,2.5190387286426437,0.6962226899044694,380.44073581695557,12.401235584277744,20.11574156376826,5.931347150204117,20.11574156376826,5.931347150204117,79.88425843623175,5.931347150204117,1.0,-967.6596318209092,4.6
