policy,n_users,seed,sum_rate,runtime_ms,is_feasible,binary_objective,num_evaluated_assignments,power_optimizer_success,power_optimizer_iterations,rate_before_refinement,rate_after_refinement,best_available_rate,quality_pct_best_available,exact_rate,quality_pct_exact,exact_gap_pct
QIO-HighQuality,3,170,3.969599483129281,240.66972732543945,True,-562.0968404202769,,True,3,2.6291812190484354,3.969599483129281,12.36803165370966,32.095644596273665,12.36803165370966,32.095644596273665,67.90435540372634
LocalSearch,3,170,3.969599483129281,8.424997329711914,True,-562.0968404202769,,True,3,2.6291812190484354,3.969599483129281,12.36803165370966,32.095644596273665,12.36803165370966,32.095644596273665,67.90435540372634
ExactSmall,3,170,12.36803165370966,275.65932273864746,True,2809.1069921350204,64.0,True,2,9.996071581734709,12.36803165370966,12.36803165370966,100.0,12.36803165370966,100.0,0.0
Greedy,3,180,1.754634768540381,1.6512870788574219,True,,,True,1,1.754634768540381,1.754634768540381,12.873936109523937,13.629357436707563,12.873936109523937,13.629357436707563,86.37064256329244
QIO-Default,3,180,4.580111261791654,27.961254119873047,True,-585.3583520366221,,True,3,3.7430230743723554,4.580111261791654,12.873936109523937,35.57661948006219,12.873936109523937,35.57661948006219,64.42338051993781
QIO-HighQuality,3,180,4.580111261791654,216.17555618286133,True,-585.3583520366221,,True,3,3.7430230743723554,4.580111261791654,12.873936109523937,35.57661948006219,12.873936109523937,35.57661948006219,64.42338051993781
LocalSearch,3,180,4.580111261791654,8.566141128540039,True,-585.3583520366221,,True,3,3.7430230743723554,4.580111261791654,12.873936109523937,35.57661948006219,12.873936109523937,35.57661948006219,64.42338051993781
ExactSmall,3,180,12.873936109523937,232.56492614746094,True,10110.492426009154,64.0,True,2,11.177883737722851,12.873936109523937,12.873936109523937,99.99999999999999,12.873936109523937,99.99999999999999,0.0
Greedy,3,190,1.7543356148416067,1.6586780548095703,True,,,True,1,1.7543356148416067,1.7543356148416067,13.07459855593342,13.417892773812675,13.07459855593342,13.417892773812675,86.58210722618733
QIO-Default,3,190,3.7620885086653733,26.255130767822266,True,-584.0068212835982,,True,3,2.7725058157523366,3.7620885086653733,13.07459855593342,28.774026923817782,13.07459855593342,28.774026923817782,71.22597307618221
QIO-HighQuality,3,190,3.7620885086653733,212.61167526245117,True,-584.0068212835982,,True,3,2.7725058157523366,3.7620885086653733,13.07459855593342,28.774026923817782,13.07459855593342,28.774026923817782,71.22597307618221
LocalSearch,3,190,3.7620885086653733,10.291337966918945,True,-584.0068212835982,,True,3,2.7725058157523366,3.7620885086653733,13.07459855593342,28.774026923817782,13.07459855593342,28.774026923817782,71.22597307618221
ExactSmall,3,190,13.07459855593342,263.80300521850586,True,4249.495986068207,64.0,True,2,11.915479557634162,13.07459855593342,13.07459855593342,100.00000000000001,13.07459855593342,100.00000000000001,0.0
Greedy,4,100,1.6598378727953267,1.8777847290039062,True,,,True,1,1.6598378727953267,1.6598378727953267,13.11394789229595,12.657041849086738,13.11394789229595,12.657041849086738,87.34295815091326
