Users,Rate_QIO,Rate_GA,Rate_Joint,Rate_Greedy,Rate_Truth,Time_QIO,Time_GA
4,1.6837034845314875,1.7275391052133924,2.0936378446063926,1.6485119846335927,2.1255899060483174,293.1032061576843,6.078922748565674
8,1.7669712245968536,1.5605358149582016,1.9060356672755572,1.535766760280688,0.0,688.3160710334778,33.14108848571777
12,1.7316404228757043,1.5138144835346286,1.8270120510046841,1.5028940546595615,0.0,1213.4341597557068,156.8381428718567
16,1.6470217017224331,1.4663650735249865,1.81245524626776,1.4871867777554475,0.0,1877.541732788086,294.6703314781189
