Users,Qubits,Rate_QIO,Rate_Optimal,Rate_Greedy,Time_QIO_ms,Time_Optimal_ms,Optimality_Gap_Pct,Gain_vs_Greedy_Pct
4,24,1.65959484341261,1.65959484341261,1.65959484341261,126.78484916687012,1173.321270942688,0.0,0.0
8,48,1.5635098250744508,1.5613701767628307,1.540777936193127,323.14460277557373,3001.275944709778,-0.13703658129657395,1.4753514018696599
12,72,1.5527936430692408,1.5479260063186322,1.5059537934694245,601.7848491668701,5475.909733772278,-0.3144618496451995,3.1103112062891687
16,96,1.568873976922878,1.5592797418386002,1.4893403727744519,1002.8466463088989,9067.001247406006,-0.61529915555531,5.340189898986305
