Users,Qubits,Rate_Truth,Rate_QIO,Rate_Greedy,Improvement,Runtime_ms
4,24,13.287856641840545,12.883454275234687,1.658744134279481,676.6993117857174,362.0800971984863
8,48,N/A,7.624053650208779,1.5403388171560053,394.9595222358547,957.6056003570557
12,72,N/A,7.193392585595158,1.5054086031744758,377.8365535062277,1729.5269966125488
16,96,N/A,6.902541975267741,1.4889175170085953,363.5946515785329,2984.7421646118164
