Users,Qubits,Rate_Truth,Rate_QIO,Rate_Greedy,Opt_Gap_Pct,Improvement_Pct,Runtime_ms
4,16,13.287856641840545,4.791414914720171,1.659619802255386,63.94140120662457,188.70557631384887,180.35836219787598
8,32,0.0,11.432636502841465,1.5403032913637633,0.0,642.232816546095,439.86170291900635
12,48,0.0,12.815721329589461,1.5056029365903734,0.0,751.2019349943797,779.2410373687744
16,64,0.0,12.210243931831211,1.4888535097231574,0.0,720.1104979160527,1252.4016857147217
