Users,Qubits,Rate_Truth_4u,Rate_OptProxy,Rate_QIO,Rate_GA,Rate_Greedy,Time_QIO_ms,Time_GA_ms
4,24,13.287856641840545,1.6784834689031378,1.6784834689031378,8.95737073433433,1.659465267036134,118.80149841308594,28.215575218200684
8,48,0.0,1.5634665001291008,1.569325805428415,4.750251815835376,1.5407332173250972,304.037880897522,124.80466365814209
12,72,0.0,1.5482629208494352,1.5539600980409438,0.0,1.5059440695545563,562.9647016525269,166.07317924499512
16,96,0.0,1.5634144506411205,1.570431150846632,0.0,1.4892856872173426,934.6115827560425,208.95302295684814
