Users,Rate_Truth,Rate_QIO,Rate_Greedy,Gain_vs_Greedy_%,Gap_vs_Truth_%,Time_ms
4,2.0826532179642223,1.6955333406829773,1.6476219368600717,2.907912473793095,18.587822204008198,295.2538728713989
8,0.0,1.7614964922941732,1.5358400689126863,14.692703227963232,0.0,691.9536590576172
12,0.0,1.75698999613568,1.5028055209703421,16.913996629531567,0.0,1216.9419288635254
16,0.0,1.6458452672435648,1.4871810339947513,10.668790794260063,0.0,1882.7830791473389
