Users,Qubits,Rate_Truth,Rate_QIO,Rate_Greedy,Opt_Gap,Improvement,Runtime_ms
4,24,13.287856641840545,4.612169443584641,1.6591092842069048,65.29034314637373,177.99069582021966,318.0079460144043
8,48,0.0,12.92388156723942,1.5405007839287603,0.0,738.94027851641,886.2850666046143
12,72,0.0,13.092642951095891,1.5054415633554838,0.0,769.687888908398,1559.5529079437256
16,96,0.0,13.03458780555616,1.4889210556435344,0.0,775.4384764827181,2601.942777633667
