Users,Qubits,Rate_Truth,Rate_Opt,Rate_QIO,Rate_GA,Rate_Greedy,Opt_Gap_Pct,Time_ms
4,24,6.658211482751794,6.658211470414278,6.658148939222931,2.140225824312152,6.658211433347432,0.0009391589862350891,139.15951251983643
8,48,0.0,3.1074876811880854,3.007858411685584,4.709545283938324,6.658205661035848,3.20610344187785,343.69142055511475
12,72,0.0,3.101967930677389,2.7119566016002126,0.0,6.65819547939447,12.573029051013052,606.5673828125
16,96,0.0,2.130057876561783,2.025757884752685,0.0,6.658133781544272,4.896580180133558,963.6942863464355
