Users,Qubits,SumRate_QIO_Mean,SumRate_GRY_Mean,Runtime_QIO_ms,Improvement_Pct
4,24,1.6690095367642706,1.6594917605386315,137.04309463500977,0.5735356120448499
8,48,1.5529116593545962,1.5407657689974563,323.0184078216553,0.7883021937229914
12,72,1.556481214695792,1.5059083833969407,598.5654354095459,3.3582940274741095
16,96,1.5784721543653428,1.4893186205277587,998.6182689666748,5.986196144246925
